class,total_sub,total_eq,inst_proxy_cap10k,total_layers,closure_size,score_rich,score_layers,status,error
http://dbpedia.org/ontology/AcademicConference,0,0,149,0,1,149,0,ok,
http://dbpedia.org/ontology/AcademicJournal,0,0,9951,0,1,9951,0,ok,
http://dbpedia.org/ontology/Activity,7,0,10000,2,8,80000,2,ok,
http://dbpedia.org/ontology/Actor,2,0,5546,1,3,16638,1,ok,
http://dbpedia.org/ontology/AdministrativeRegion,22,0,10000,3,23,230000,3,ok,
http://dbpedia.org/ontology/AdultActor,0,0,679,0,1,679,0,ok,
http://dbpedia.org/ontology/Aircraft,1,0,10000,1,2,20000,1,ok,
http://dbpedia.org/ontology/Airline,0,0,4882,0,1,4882,0,ok,
http://dbpedia.org/ontology/Airport,0,0,10000,0,1,10000,0,ok,
http://dbpedia.org/ontology/Album,0,0,10000,0,1,10000,0,ok,
http://dbpedia.org/ontology/AmateurBoxer,0,0,623,0,1,623,0,ok,
http://dbpedia.org/ontology/Ambassador,0,0,175,0,1,175,0,ok,
http://dbpedia.org/ontology/AmericanFootballCoach,0,0,12,0,1,12,0,ok,
http://dbpedia.org/ontology/AmericanFootballLeague,0,0,164,0,1,164,0,ok,
http://dbpedia.org/ontology/AmericanFootballPlayer,0,0,10000,0,1,10000,0,ok,
http://dbpedia.org/ontology/AmericanFootballTeam,0,0,41,0,1,41,0,ok,
http://dbpedia.org/ontology/Amphibian,0,0,110,0,1,110,0,ok,
http://dbpedia.org/ontology/AmusementParkAttraction,2,0,1781,1,3,5343,1,ok,
http://dbpedia.org/ontology/AnatomicalStructure,10,0,4385,1,11,48235,1,ok,
