shape,target_classes,entities,prop_shapes,total_sub,total_eq,closure_size,total_layers,score,score_rich_linear
http://shaclshapes.org/ReligiousBuildingShape,http://dbpedia.org/ontology/ReligiousBuilding,6707,20,8,12,21,4,1064.6515862008566,140847.0
http://shaclshapes.org/WrittenWorkShape,http://dbpedia.org/ontology/WrittenWork,1299,23,32,26,59,4,973.1243497107653,76641.0
http://shaclshapes.org/AnatomicalStructureShape,http://dbpedia.org/ontology/AnatomicalStructure,1496,32,15,13,29,4,541.4942289627841,43384.0
http://shaclshapes.org/LanguageShape,http://dbpedia.org/ontology/Language,8355,36,1,4,6,3,457.0284455042159,50130.0
http://shaclshapes.org/SportsEventShape,http://dbpedia.org/ontology/SportsEvent,1639,9,33,10,44,4,445.33021455993753,72116.0
http://shaclshapes.org/ArtworkShape,http://dbpedia.org/ontology/Artwork,5177,10,2,5,8,3,431.7082348067963,41416.0
http://shaclshapes.org/AwardShape,http://dbpedia.org/ontology/Award,7322,12,3,4,8,3,427.8434293056281,58576.0
http://shaclshapes.org/PowerStationShape,http://dbpedia.org/ontology/PowerStation,6297,23,1,4,6,3,396.7681942898145,37782.0
http://shaclshapes.org/ClericShape,http://dbpedia.org/ontology/Cleric,5808,46,8,4,13,3,381.051177665153,75504.0
http://shaclshapes.org/SportsTeamShape,http://dbpedia.org/ontology/SportsTeam,2416,30,18,6,25,5,344.0697603684462,60400.0
http://shaclshapes.org/EnzymeShape,http://dbpedia.org/ontology/Enzyme,4164,17,0,4,5,2,322.64531609803356,20820.0
http://shaclshapes.org/ActorShape,http://dbpedia.org/ontology/Actor,3671,52,3,4,8,3,302.9438891940222,29368.0
http://shaclshapes.org/ComicShape,http://dbpedia.org/ontology/Comic,1696,10,4,6,11,3,288.277643947636,18656.0
http://shaclshapes.org/AustralianRulesFootballPlayerShape,http://dbpedia.org/ontology/AustralianRulesFootballPlayer,9184,30,0,2,3,2,287.4995652170625,27552.0
http://shaclshapes.org/SwimmerShape,http://dbpedia.org/ontology/Swimmer,7685,35,0,2,3,2,262.99239532731735,23055.0
http://shaclshapes.org/MuseumShape,http://dbpedia.org/ontology/Museum,7612,46,0,2,3,2,261.74032933424684,22836.0
http://shaclshapes.org/TennisPlayerShape,http://dbpedia.org/ontology/TennisPlayer,7119,38,0,2,3,2,253.1224999876542,21357.0
http://shaclshapes.org/TennisTournamentShape,http://dbpedia.org/ontology/TennisTournament,6962,17,0,2,3,2,250.31580054003786,20886.0
http://shaclshapes.org/DrugShape,http://dbpedia.org/ontology/Drug,6845,29,6,2,9,3,248.20354550247666,61605.0
http://shaclshapes.org/CriminalShape,http://dbpedia.org/ontology/Criminal,3737,44,3,3,7,4,244.5240274492468,26159.0
http://shaclshapes.org/LakeShape,http://dbpedia.org/ontology/Lake,3591,38,0,3,4,2,239.69981226525815,14364.0
http://shaclshapes.org/WeaponShape,http://dbpedia.org/ontology/Weapon,6311,29,0,2,3,2,238.32540779362995,18933.0
http://shaclshapes.org/EducationalInstitutionShape,http://dbpedia.org/ontology/EducationalInstitution,466,5,6,10,17,3,237.45736459415193,7922.0
http://shaclshapes.org/EthnicGroupShape,http://dbpedia.org/ontology/EthnicGroup,5964,48,0,2,3,2,231.68081491569387,17892.0
http://shaclshapes.org/GovernmentAgencyShape,http://dbpedia.org/ontology/GovernmentAgency,5788,30,2,2,5,3,228.23671921932282,28940.0
http://shaclshapes.org/DamShape,http://dbpedia.org/ontology/Dam,5703,53,0,2,3,2,226.5546291736278,17109.0
http://shaclshapes.org/SpeciesShape,http://dbpedia.org/ontology/Species,5628,18,26,2,29,4,225.05999200213262,163212.0
http://shaclshapes.org/PlaceShape,http://dbpedia.org/ontology/Place,5229,19,15,2,18,2,216.9354742774911,94122.0
http://shaclshapes.org/FishShape,http://dbpedia.org/ontology/Fish,5068,27,0,2,3,2,213.5696607666922,15204.0
http://shaclshapes.org/WebsiteShape,http://dbpedia.org/ontology/Website,4918,36,0,2,3,2,210.38536070744087,14754.0
http://shaclshapes.org/ShoppingMallShape,http://dbpedia.org/ontology/ShoppingMall,2708,38,0,3,4,2,208.153789300123,10832.0
http://shaclshapes.org/RacingDriverShape,http://dbpedia.org/ontology/RacingDriver,2693,38,7,3,11,3,207.57649192526594,29623.0
http://shaclshapes.org/VolleyballPlayerShape,http://dbpedia.org/ontology/VolleyballPlayer,4177,28,2,2,5,3,193.88914358467832,20885.0
http://shaclshapes.org/HandballPlayerShape,http://dbpedia.org/ontology/HandballPlayer,4110,25,0,2,3,2,192.32784509789525,12330.0
http://shaclshapes.org/AnimeShape,http://dbpedia.org/ontology/Anime,4080,14,0,2,3,2,191.62463307205573,12240.0
http://shaclshapes.org/MagazineShape,http://dbpedia.org/ontology/Magazine,4066,47,0,2,3,2,191.2955828031583,12198.0
http://shaclshapes.org/PlanetShape,http://dbpedia.org/ontology/Planet,3991,31,0,2,3,2,189.52308566504502,11973.0
http://shaclshapes.org/AirlineShape,http://dbpedia.org/ontology/Airline,3912,43,0,2,3,2,187.63794925334267,11736.0
http://shaclshapes.org/LocomotiveShape,http://dbpedia.org/ontology/Locomotive,3872,26,0,2,3,2,186.67619023324855,11616.0
http://shaclshapes.org/BankShape,http://dbpedia.org/ontology/Bank,3482,43,0,2,3,2,177.02542190318314,10446.0
http://shaclshapes.org/PublicTransitSystemShape,http://dbpedia.org/ontology/PublicTransitSystem,3337,54,2,2,5,3,173.30031736843415,16685.0
http://shaclshapes.org/MangaShape,http://dbpedia.org/ontology/Manga,3298,18,0,2,3,2,172.28464818433477,9894.0
http://shaclshapes.org/GolfPlayerShape,http://dbpedia.org/ontology/GolfPlayer,3042,32,0,2,3,2,165.46298679765212,9126.0
http://shaclshapes.org/NewspaperShape,http://dbpedia.org/ontology/Newspaper,6808,46,0,1,2,1,165.02121075789015,13616.0
http://shaclshapes.org/SkierShape,http://dbpedia.org/ontology/Skier,2995,21,0,2,3,2,164.17977951014552,8985.0
http://shaclshapes.org/SpaceMissionShape,http://dbpedia.org/ontology/SpaceMission,2870,30,0,2,3,2,160.7171428317465,8610.0
http://shaclshapes.org/ProteinShape,http://dbpedia.org/ontology/Protein,2746,18,0,2,3,2,157.20687007888682,8238.0
http://shaclshapes.org/MammalShape,http://dbpedia.org/ontology/Mammal,655,19,5,5,11,3,153.5578067048367,7205.0
http://shaclshapes.org/ParkShape,http://dbpedia.org/ontology/Park,5760,14,0,1,2,1,151.7893276880822,11520.0
http://shaclshapes.org/AnimalShape,http://dbpedia.org/ontology/Animal,5708,35,10,1,12,2,151.10261414019283,68496.0
http://shaclshapes.org/HotelShape,http://dbpedia.org/ontology/Hotel,1411,50,0,3,4,2,150.2531197679436,5644.0
http://shaclshapes.org/ReligiousShape,http://dbpedia.org/ontology/Religious,2504,50,5,2,8,3,150.11995203836165,20032.0
http://shaclshapes.org/PhilosopherShape,http://dbpedia.org/ontology/Philosopher,2408,39,0,2,3,2,147.21412975662355,7224.0
http://shaclshapes.org/LighthouseShape,http://dbpedia.org/ontology/Lighthouse,2382,12,0,2,3,2,146.41721210294915,7146.0
http://shaclshapes.org/LegislatureShape,http://dbpedia.org/ontology/Legislature,2376,20,0,2,3,2,146.2326912834473,7128.0
http://shaclshapes.org/PainterShape,http://dbpedia.org/ontology/Painter,2315,44,0,2,3,2,144.3433406846329,6945.0
http://shaclshapes.org/RailwayLineShape,http://dbpedia.org/ontology/RailwayLine,5173,30,0,1,2,1,143.8471410908121,10346.0
http://shaclshapes.org/SiteOfSpecialScientificInterestShape,http://dbpedia.org/ontology/SiteOfSpecialScientificInterest,2105,11,0,2,3,2,137.64083696345352,6315.0
http://shaclshapes.org/BridgeShape,http://dbpedia.org/ontology/Bridge,4672,37,0,1,2,1,136.7040599250805,9344.0
http://shaclshapes.org/SportsLeagueShape,http://dbpedia.org/ontology/SportsLeague,516,24,30,5,36,3,136.29380029920657,18576.0
http://shaclshapes.org/TelevisionEpisodeShape,http://dbpedia.org/ontology/TelevisionEpisode,4611,30,0,1,2,1,135.8086889709197,9222.0
http://shaclshapes.org/GameShape,http://dbpedia.org/ontology/Game,1131,17,2,3,6,3,134.5213737664019,6786.0
http://shaclshapes.org/StarShape,http://dbpedia.org/ontology/Star,4481,18,1,1,3,2,133.88054376943649,13443.0
http://shaclshapes.org/SkaterShape,http://dbpedia.org/ontology/Skater,1976,15,0,2,3,2,133.3566646253572,5928.0
http://shaclshapes.org/GolfTournamentShape,http://dbpedia.org/ontology/GolfTournament,1925,9,0,2,3,2,131.62446581088182,5775.0
http://shaclshapes.org/ModelShape,http://dbpedia.org/ontology/Model,1862,40,0,2,3,2,129.45269406234848,5586.0
http://shaclshapes.org/GalaxyShape,http://dbpedia.org/ontology/Galaxy,1841,6,0,2,3,2,128.7206277175496,5523.0
http://shaclshapes.org/YearShape,http://dbpedia.org/ontology/Year,1837,17,0,2,3,2,128.58071395042106,5511.0
http://shaclshapes.org/TrainShape,http://dbpedia.org/ontology/Train,1735,12,0,2,3,2,124.95999359795118,5205.0
http://shaclshapes.org/GovernorShape,http://dbpedia.org/ontology/Governor,1666,52,0,2,3,2,122.4499897917513,4998.0
http://shaclshapes.org/InformationApplianceShape,http://dbpedia.org/ontology/InformationAppliance,1609,21,0,2,3,2,120.33702672078948,4827.0
http://shaclshapes.org/RecordLabelShape,http://dbpedia.org/ontology/RecordLabel,3509,36,0,1,2,1,118.4736257569591,7018.0
http://shaclshapes.org/TradeUnionShape,http://dbpedia.org/ontology/TradeUnion,1532,12,0,2,3,2,117.42231474468555,4596.0
http://shaclshapes.org/MineralShape,http://dbpedia.org/ontology/Mineral,1520,14,0,2,3,2,116.96153213770756,4560.0
http://shaclshapes.org/JournalistShape,http://dbpedia.org/ontology/Journalist,1500,42,0,2,3,2,116.1895003862225,4500.0
http://shaclshapes.org/PrisonShape,http://dbpedia.org/ontology/Prison,1498,20,0,2,3,2,116.11201488218177,4494.0
http://shaclshapes.org/LibraryShape,http://dbpedia.org/ontology/Library,1492,18,0,2,3,1,115.8792474949678,4476.0
http://shaclshapes.org/ArchitectShape,http://dbpedia.org/ontology/Architect,3242,39,0,1,2,1,113.87712676389407,6484.0
http://shaclshapes.org/EconomistShape,http://dbpedia.org/ontology/Economist,1436,33,0,2,3,2,113.6837719289785,4308.0
http://shaclshapes.org/GlacierShape,http://dbpedia.org/ontology/Glacier,1430,11,0,2,3,2,113.44602240713422,4290.0
http://shaclshapes.org/BeverageShape,http://dbpedia.org/ontology/Beverage,495,24,4,4,9,3,111.24297730643494,4455.0
http://shaclshapes.org/MusicGenreShape,http://dbpedia.org/ontology/MusicGenre,1276,49,0,2,3,2,107.1634265969505,3828.0
http://shaclshapes.org/MotorcycleShape,http://dbpedia.org/ontology/Motorcycle,1215,7,0,2,3,2,104.57055034760025,3645.0
http://shaclshapes.org/MonumentShape,http://dbpedia.org/ontology/Monument,1143,8,3,2,6,3,101.4248490262618,6858.0
http://shaclshapes.org/MountainPassShape,http://dbpedia.org/ontology/MountainPass,1118,11,0,2,3,2,100.30952098380293,3354.0
http://shaclshapes.org/HolidayShape,http://dbpedia.org/ontology/Holiday,1110,28,0,2,3,2,99.94998749374611,3330.0
http://shaclshapes.org/CyclingRaceShape,http://dbpedia.org/ontology/CyclingRace,1073,13,0,2,3,2,98.2700361249552,3219.0
http://shaclshapes.org/MusicFestivalShape,http://dbpedia.org/ontology/MusicFestival,379,21,2,4,7,3,97.33961166965892,2653.0
http://shaclshapes.org/JudgeShape,http://dbpedia.org/ontology/Judge,1047,25,0,2,3,2,97.07213812418063,3141.0
http://shaclshapes.org/FungusShape,http://dbpedia.org/ontology/Fungus,9219,21,0,0,1,0,96.01562372864116,9219.0
